Test,tenure,Monthly Charges,Total Charges Residues,Total Charges
real data,2,53.85,-62.25,108.15
real data,2,70.70,-18.75,151.65
real data,8,99.65,138.91,820.50
real data,28,104.80,660.49,3046.05
real data,49,103.70,861.57,5036.30
real data,10,55.20,-323.64,528.35
real data,1,39.65,-45.55,39.65
real data,1,20.15,-65.05,20.15
real data,47,99.35,744.82,4749.15
real data,1,30.20,-55.00,30.20
real data,17,64.70,-355.28,1093.10
real data,5,69.70,-109.09,316.90
real data,34,106.35,652.50,3549.25
real data,11,97.85,168.22,1105.40
real data,2,80.65,-26.25,144.15
real data,15,99.10,148.42,1426.40
real data,8,80.65,-48.29,633.30
real data,18,95.45,218.98,1752.55
real data,9,94.40,90.46,857.25
real data,1,79.35,-5.85,79.35
real data,7,75.15,-99.49,496.90
real data,12,78.95,-95.03,927.35
real data,5,21.05,-312.14,113.85
real data,25,98.50,384.54,2514.50
real data,68,110.00,1818.35,7611.85
real data,55,96.75,552.98,5238.90
real data,37,76.50,-284.20,2868.15
real data,10,100.25,212.66,1064.65
real data,3,74.40,-26.05,229.55
real data,27,78.05,-164.86,2135.50
real data,25,58.60,-627.31,1502.65
real data,1,35.45,-49.75,35.45
real data,2,44.35,-89.15,81.25
real data,1,70.45,-14.75,70.45
real data,8,71.15,-117.94,563.65
real data,1,45.65,-39.55,45.65
real data,7,95.00,59.11,655.50
real data,20,82.40,-111.62,1592.35
real data,4,70.90,-67.79,273.00
real data,58,45.30,-2290.32,2651.20
real data,2,104.40,72.40,242.80
real data,53,94.85,484.68,5000.20
real data,15,74.45,-132.28,1145.70
real data,7,76.45,-92.79,503.60
real data,1,29.95,-55.25,29.95
real data,8,84.50,-18.94,662.65
real data,13,79.25,4.07,1111.65
real data,1,24.80,-60.40,24.80
real data,6,91.00,19.81,531.00
real data,1,79.90,-5.30,79.90
real data,19,106.60,315.68,1934.45
real data,2,46.00,-85.90,84.50
real data,4,70.15,-72.44,268.35
real data,4,50.05,-161.44,179.35
real data,1,55.20,-30.00,55.20
real data,1,84.60,-0.60,84.60
real data,2,54.40,-56.30,114.10
real data,11,95.00,183.12,1120.30
real data,15,74.40,-203.68,1074.30
real data,1,48.55,-36.65,48.55
real data,2,70.40,-23.25,147.15
real data,1,40.20,-45.00,40.20
real data,2,44.60,-89.85,80.55
real data,3,41.15,-123.40,132.20
real data,13,106.90,256.72,1364.30
real data,59,19.35,-3927.11,1099.60
real data,16,94.45,148.02,1511.20
real data,1,24.80,-60.40,24.80
real data,1,70.60,-14.60,70.60
real data,5,85.40,-24.89,401.10
real data,52,105.05,1194.53,5624.85
real data,18,95.15,246.38,1779.95
real data,1,70.00,-15.20,70.00
real data,8,74.50,-75.04,606.55
real data,10,44.85,-416.59,435.40
real data,24,76.10,-332.07,1712.70
real data,1,73.60,-11.60,73.60
real data,4,95.45,55.31,396.10
real data,32,74.90,-423.00,2303.35
real data,5,80.60,-10.44,415.55
real data,38,80.30,-178.89,3058.65
real data,24,93.15,186.28,2231.05
real data,54,82.45,-250.62,4350.10
real data,2,70.35,-31.35,139.05
real data,7,73.85,-85.14,511.25
real data,2,80.60,-14.60,155.80
real data,68,75.80,-499.55,5293.95
real data,43,104.60,1096.31,4759.85
real data,63,103.40,1235.49,6603.00
real data,2,90.40,-2.20,168.20
real data,4,84.80,31.11,371.90
real data,21,41.90,-949.07,840.10
real data,10,80.25,-5.99,846.00
real data,27,30.75,-1495.26,805.10
real data,5,96.50,66.56,492.55
real data,2,85.65,11.10,181.50
real data,25,104.95,436.54,2566.50
real data,1,50.65,-34.55,50.65
real data,1,90.85,5.65,90.85
real data,11,19.95,-722.43,214.75
real data,55,85.45,188.78,4874.70
real data,34,73.95,-372.30,2524.45
real data,69,99.45,1128.90,7007.60
real data,1,19.90,-65.30,19.90
real data,1,19.60,-65.60,19.60
real data,3,81.35,-21.90,233.70
real data,22,83.30,-28.47,1845.90
real data,1,75.30,-9.90,75.30
real data,61,19.40,-4014.56,1182.55
real data,12,45.40,-503.48,518.90
real data,60,105.90,1284.54,6396.45
real data,1,69.55,-15.65,69.55
real data,28,81.05,-158.46,2227.10
real data,4,101.15,45.11,385.90
real data,7,99.80,76.86,673.25
real data,13,55.95,-373.23,734.35
real data,1,55.00,-30.20,55.00
real data,1,74.70,-10.50,74.70
real data,24,80.25,-183.27,1861.50
real data,5,96.10,27.41,453.40
real data,15,69.00,-283.18,994.80
real data,48,45.30,-1944.53,2145.00
real data,8,83.55,-1.54,680.05
real data,1,74.35,-10.85,74.35
real data,2,74.40,-31.00,139.40
real data,22,43.75,-970.77,903.60
real data,5,28.45,-294.94,131.05
real data,12,99.70,216.07,1238.45
real data,20,94.10,78.43,1782.40
real data,2,94.20,-2.90,167.50
real data,6,80.50,-8.34,502.85
real data,5,74.35,-91.19,334.80
real data,40,104.80,724.01,4131.95
real data,27,75.20,-371.01,1929.35
real data,23,75.60,-200.97,1758.60
real data,34,100.05,583.25,3480.00
real data,1,85.00,-0.20,85.00
real data,10,86.05,-17.89,834.10
real data,13,45.55,-510.58,597.00
real data,39,86.30,-56.74,3266.00
real data,32,80.35,-130.20,2596.15
real data,35,100.25,545.65,3527.60
real data,56,100.30,843.33,5614.45
real data,12,19.00,-788.83,233.55
real data,1,75.30,-9.90,75.30
real data,4,89.20,5.41,346.20
real data,1,85.70,0.50,85.70
real data,12,61.65,-308.63,713.75
real data,65,105.25,1248.49,6786.40
real data,9,29.95,-517.84,248.95
real data,9,65.00,-103.74,663.05
real data,7,20.00,-458.79,137.60
real data,49,90.05,372.52,4547.25
real data,43,110.75,1024.36,4687.90
real data,65,105.50,1447.74,6985.65
real data,56,104.55,1023.53,5794.65
real data,10,85.25,3.31,855.30
real data,43,56.15,-1164.24,2499.30
real data,1,89.55,4.35,89.55
real data,20,94.55,195.68,1899.65
real data,1,45.70,-39.50,45.70
real data,2,89.50,-8.90,161.50
real data,3,69.55,-33.30,222.30
real data,1,74.60,-10.60,74.60
real data,8,19.65,-517.29,164.30
real data,2,19.85,-134.50,35.90
real data,4,24.25,-244.74,96.05
real data,2,69.65,-25.25,145.15
real data,4,45.65,-149.74,191.05
real data,1,75.05,-10.15,75.05
real data,52,49.15,-1879.42,2550.90
real data,2,34.70,-108.15,62.25
real data,1,80.00,-5.20,80.00
real data,2,49.25,-79.30,91.10
real data,3,75.10,15.10,270.70
real data,3,50.15,-87.45,168.15
real data,25,79.85,-114.61,2015.35
real data,1,19.55,-65.65,19.55
real data,4,85.95,40.51,381.30
real data,3,45.35,-114.10,141.50
real data,33,94.50,294.00,3105.55
real data,30,91.70,202.19,2758.15
real data,45,87.25,107.77,3941.70
real data,10,98.55,156.56,1008.55
real data,20,98.55,138.83,1842.80
real data,15,85.90,-8.43,1269.55
real data,22,89.25,33.48,1907.85
real data,3,70.30,-46.75,208.85
real data,15,93.35,166.67,1444.65
real data,1,19.90,-65.30,19.90
real data,5,88.90,28.16,454.15
real data,33,95.80,225.20,3036.75
real data,2,82.00,14.25,184.65
real data,2,45.35,-80.90,89.50
real data,1,52.20,-33.00,52.20
real data,46,110.00,955.67,4874.80
real data,62,96.75,843.09,6125.40
real data,10,98.50,206.26,1058.25
real data,6,85.35,-21.74,489.45
real data,40,101.30,705.16,4113.10
real data,1,69.55,-15.65,69.55
real data,58,103.25,1076.13,6017.65
real data,70,104.00,1286.25,7250.15
real data,2,86.20,8.30,178.70
